,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,1,manhattan,uniform,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
1,1,manhattan,distance,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
2,1,manhattan,weights_sqr,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
3,1,manhattan,weights_sqr4,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
4,1,manhattan,weights_sqr8,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
5,1,nan_euclidean,uniform,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
6,1,nan_euclidean,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
7,1,nan_euclidean,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
8,1,nan_euclidean,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
9,1,nan_euclidean,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
10,1,minkowski,uniform,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
11,1,minkowski,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
12,1,minkowski,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
13,1,minkowski,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
14,1,minkowski,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
15,1,chebyshev,uniform,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
16,1,chebyshev,distance,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
17,1,chebyshev,weights_sqr,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
18,1,chebyshev,weights_sqr4,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
19,1,chebyshev,weights_sqr8,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
20,1,cosine,uniform,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
21,1,cosine,distance,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
22,1,cosine,weights_sqr,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
23,1,cosine,weights_sqr4,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
24,1,cosine,weights_sqr8,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
25,1,euclidean,uniform,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
26,1,euclidean,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
27,1,euclidean,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
28,1,euclidean,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
29,1,euclidean,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
30,2,manhattan,uniform,3628,15247,3343,1605,0.7923015573185577,0.5204418304403959,0.6932925664055035,0.5945591609308424,0.820172135556751
31,2,manhattan,distance,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
32,2,manhattan,weights_sqr,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
33,2,manhattan,weights_sqr4,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
34,2,manhattan,weights_sqr8,4568,10932,7658,665,0.6506317424337825,0.3736299689186979,0.8729218421555514,0.5232831204536342,0.5880580957504035
35,2,nan_euclidean,uniform,3608,15468,3122,1625,0.8007387818494732,0.5361069836552749,0.68947066692146,0.6031931789684861,0.8320602474448628
36,2,nan_euclidean,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
37,2,nan_euclidean,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
38,2,nan_euclidean,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
39,2,nan_euclidean,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
40,2,minkowski,uniform,3608,15468,3122,1625,0.8007387818494732,0.5361069836552749,0.68947066692146,0.6031931789684861,0.8320602474448628
41,2,minkowski,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
42,2,minkowski,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
43,2,minkowski,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
44,2,minkowski,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
45,2,chebyshev,uniform,3654,14580,4010,1579,0.7653947865508123,0.47677453027139877,0.6982610357347602,0.5666434054431263,0.7842926304464766
46,2,chebyshev,distance,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
47,2,chebyshev,weights_sqr,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
48,2,chebyshev,weights_sqr4,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
49,2,chebyshev,weights_sqr8,4508,10270,8320,725,0.6203248961088024,0.3514187714374805,0.8614561437034206,0.4991971651625049,0.5524475524475524
50,2,cosine,uniform,3674,15380,3210,1559,0.7998153045376317,0.5337013364323068,0.7020829352188037,0.6064207312040935,0.8273265196342119
51,2,cosine,distance,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
52,2,cosine,weights_sqr,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
53,2,cosine,weights_sqr4,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
54,2,cosine,weights_sqr8,4578,11094,7496,655,0.6578516559627251,0.37916183534868314,0.8748327918975731,0.5290344947131218,0.5967724583109199
55,2,euclidean,uniform,3608,15468,3122,1625,0.8007387818494732,0.5361069836552749,0.68947066692146,0.6031931789684861,0.8320602474448628
56,2,euclidean,distance,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
57,2,euclidean,weights_sqr,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
58,2,euclidean,weights_sqr4,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
59,2,euclidean,weights_sqr8,4584,11127,7463,649,0.6594887293791714,0.38050967045737527,0.8759793617427861,0.5305555555555554,0.598547606239914
60,3,manhattan,uniform,4860,9708,8882,373,0.6115098854048608,0.35366031145393684,0.9287215746225874,0.5122529644268775,0.5222162452931683
61,3,manhattan,distance,4859,9721,8869,374,0.612013600302229,0.35394813519813517,0.9285304796483852,0.5125257106692684,0.522915545992469
62,3,manhattan,weights_sqr,4874,9986,8604,359,0.6237669479074843,0.36162635405846566,0.931396904261418,0.5209769654214099,0.5371705217859064
63,3,manhattan,weights_sqr4,4811,10508,8082,422,0.6430340427318137,0.37314821996432174,0.9193579208866807,0.5308396778108795,0.5652501344809037
64,3,manhattan,weights_sqr8,4703,10781,7809,530,0.6499601225706251,0.3758791560102302,0.8987196636728454,0.5300648069878839,0.5799354491662184
65,3,nan_euclidean,uniform,4887,9551,9039,346,0.6060529740167065,0.35092632485997416,0.9338811389260463,0.5101518868416932,0.5137708445400753
66,3,nan_euclidean,distance,4887,9575,9015,346,0.6070604038114428,0.3515321536469573,0.9338811389260463,0.5107917428795401,0.5150618612157074
67,3,nan_euclidean,weights_sqr,4893,9911,8679,340,0.6214162783864333,0.3605216622458002,0.9350277087712593,0.520393512363733,0.5331360946745562
68,3,nan_euclidean,weights_sqr4,4845,10447,8143,388,0.6419006842127356,0.3730366492146597,0.9258551500095548,0.5318039624608968,0.5619688004303389
69,3,nan_euclidean,weights_sqr8,4723,10928,7662,510,0.6569701548923309,0.38134840532902703,0.9025415631568889,0.536156203882393,0.5878429263044648
70,3,minkowski,uniform,4887,9551,9039,346,0.6060529740167065,0.35092632485997416,0.9338811389260463,0.5101518868416932,0.5137708445400753
71,3,minkowski,distance,4887,9575,9015,346,0.6070604038114428,0.3515321536469573,0.9338811389260463,0.5107917428795401,0.5150618612157074
72,3,minkowski,weights_sqr,4893,9911,8679,340,0.6214162783864333,0.3605216622458002,0.9350277087712593,0.520393512363733,0.5331360946745562
73,3,minkowski,weights_sqr4,4845,10447,8143,388,0.6419006842127356,0.3730366492146597,0.9258551500095548,0.5318039624608968,0.5619688004303389
74,3,minkowski,weights_sqr8,4723,10928,7662,510,0.6569701548923309,0.38134840532902703,0.9025415631568889,0.536156203882393,0.5878429263044648
75,3,chebyshev,uniform,4834,8985,9605,399,0.5800696805608025,0.33478772768197246,0.9237531052933308,0.49145994306628715,0.48332436793975253
76,3,chebyshev,distance,4837,9034,9556,396,0.5822524451160643,0.33606614326408674,0.9243263902159373,0.4929175583409763,0.48596019365250137
77,3,chebyshev,weights_sqr,4832,9349,9241,401,0.59526507996474,0.34335251900802954,0.9233709153449264,0.5005697710556303,0.5029047875201721
78,3,chebyshev,weights_sqr4,4756,9804,8786,477,0.6111740754732822,0.3512036626790725,0.9088476973055608,0.5066311584553927,0.5273803119956966
79,3,chebyshev,weights_sqr8,4649,10089,8501,584,0.6186458464509088,0.3535361216730038,0.8884005350659278,0.5057933960724582,0.5427111350188273
80,3,cosine,uniform,4887,9682,8908,346,0.6115518616463081,0.3542587894164552,0.9338811389260463,0.513664073996216,0.520817643894567
81,3,cosine,distance,4887,10013,8577,346,0.625445997565378,0.3629679144385027,0.9338811389260463,0.5227576616569503,0.5386229155459925
82,3,cosine,weights_sqr,4832,10496,8094,401,0.6434118289048398,0.3738202073340554,0.9233709153449264,0.5321878958092406,0.5646046261430877
83,3,cosine,weights_sqr4,4733,10918,7672,500,0.6569701548923309,0.3815397017331721,0.9044525128989107,0.536682163510602,0.587305002689618
84,3,cosine,weights_sqr8,4666,11040,7550,567,0.6592788481719347,0.38195808775376555,0.8916491496273647,0.5348157487535102,0.5938676707907478
85,3,euclidean,uniform,4887,9551,9039,346,0.6060529740167065,0.35092632485997416,0.9338811389260463,0.5101518868416932,0.5137708445400753
86,3,euclidean,distance,4887,9575,9015,346,0.6070604038114428,0.3515321536469573,0.9338811389260463,0.5107917428795401,0.5150618612157074
87,3,euclidean,weights_sqr,4893,9911,8679,340,0.6214162783864333,0.3605216622458002,0.9350277087712593,0.520393512363733,0.5331360946745562
88,3,euclidean,weights_sqr4,4845,10447,8143,388,0.6419006842127356,0.3730366492146597,0.9258551500095548,0.5318039624608968,0.5619688004303389
89,3,euclidean,weights_sqr8,4723,10928,7662,510,0.6569701548923309,0.38134840532902703,0.9025415631568889,0.536156203882393,0.5878429263044648
90,4,manhattan,uniform,4478,12671,5919,755,0.7198505645804475,0.4307011637972492,0.8557232944773553,0.5730006397952655,0.6816030123722432
91,4,manhattan,distance,4917,10068,8522,316,0.629013978088402,0.365875437160503,0.9396139881521116,0.5266709511568124,0.5415814954276493
92,4,manhattan,weights_sqr,4915,10093,8497,318,0.6299794316416908,0.3664628690724724,0.9392317982037073,0.527219093590775,0.542926304464766
93,4,manhattan,weights_sqr4,4876,10335,8255,357,0.638500608655501,0.37133500875790115,0.9317790942098223,0.531038989326944,0.5559440559440559
94,4,manhattan,weights_sqr8,4761,10672,7918,472,0.6478193342568106,0.3755027999053553,0.9098031721765718,0.5315989280928987,0.5740720817643895
95,4,nan_euclidean,uniform,4472,12655,5935,761,0.718927087268606,0.42971077159604115,0.8545767246321422,0.5718670076726342,0.6807423345884884
96,4,nan_euclidean,distance,4938,10025,8565,295,0.6280905007765605,0.3656965118862475,0.9436269826103574,0.5271135781383433,0.5392684238838085
97,4,nan_euclidean,weights_sqr,4937,10055,8535,296,0.6293078117785333,0.36646377672209024,0.9434358876361552,0.5278802459235498,0.5408821947283485
98,4,nan_euclidean,weights_sqr4,4894,10331,8259,339,0.6390882760357638,0.37208241465825287,0.9352188037454615,0.5323615794626346,0.5557288864981172
99,4,nan_euclidean,weights_sqr8,4788,10781,7809,445,0.653528103093649,0.38009049773755654,0.9149627364800306,0.5370723499719574,0.5799354491662184
100,4,minkowski,uniform,4472,12655,5935,761,0.718927087268606,0.42971077159604115,0.8545767246321422,0.5718670076726342,0.6807423345884884
101,4,minkowski,distance,4938,10025,8565,295,0.6280905007765605,0.3656965118862475,0.9436269826103574,0.5271135781383433,0.5392684238838085
102,4,minkowski,weights_sqr,4937,10055,8535,296,0.6293078117785333,0.36646377672209024,0.9434358876361552,0.5278802459235498,0.5408821947283485
103,4,minkowski,weights_sqr4,4894,10331,8259,339,0.6390882760357638,0.37208241465825287,0.9352188037454615,0.5323615794626346,0.5557288864981172
104,4,minkowski,weights_sqr8,4788,10781,7809,445,0.653528103093649,0.38009049773755654,0.9149627364800306,0.5370723499719574,0.5799354491662184
105,4,chebyshev,uniform,4450,12107,6483,783,0.6950006296436217,0.407024604408671,0.8503726351996942,0.5505381665223308,0.6512641204948897
106,4,chebyshev,distance,4856,9329,9261,377,0.5954329849305293,0.3439824325281575,0.9279571947257788,0.5019121447028424,0.5018289402904788
107,4,chebyshev,weights_sqr,4850,9393,9197,383,0.597867606934475,0.34526945255214636,0.9268106248805656,0.5031120331950207,0.5052716514254976
108,4,chebyshev,weights_sqr4,4800,9661,8929,433,0.6070184275699954,0.34962488163740985,0.9172558761704567,0.5062757093133635,0.5196880043033889
109,4,chebyshev,weights_sqr8,4685,9971,8619,548,0.6152037946522269,0.3521497294046903,0.8952799541372062,0.5054755354156552,0.5363636363636364
110,4,cosine,uniform,4514,12576,6014,719,0.7173739663350543,0.4287613981762918,0.8626027135486337,0.5728062940168771,0.6764927380311996
111,4,cosine,distance,4938,10109,8481,295,0.631616505058137,0.3679856919293539,0.9436269826103574,0.5294874544284796,0.5437869822485207
112,4,cosine,weights_sqr,4902,10340,8250,331,0.6398018721403685,0.3727189781021898,0.936747563539079,0.5332608104432962,0.5562130177514792
113,4,cosine,weights_sqr4,4793,10778,7812,440,0.6536120555765437,0.38024593415311386,0.9159182113510415,0.5373920843143851,0.5797740720817643
114,4,cosine,weights_sqr8,4680,11010,7580,553,0.6586072283087773,0.3817292006525285,0.8943244792661953,0.5350711713256731,0.5922538999462076
115,4,euclidean,uniform,4472,12655,5935,761,0.718927087268606,0.42971077159604115,0.8545767246321422,0.5718670076726342,0.6807423345884884
116,4,euclidean,distance,4938,10025,8565,295,0.6280905007765605,0.3656965118862475,0.9436269826103574,0.5271135781383433,0.5392684238838085
117,4,euclidean,weights_sqr,4937,10055,8535,296,0.6293078117785333,0.36646377672209024,0.9434358876361552,0.5278802459235498,0.5408821947283485
118,4,euclidean,weights_sqr4,4894,10331,8259,339,0.6390882760357638,0.37208241465825287,0.9352188037454615,0.5323615794626346,0.5557288864981172
119,4,euclidean,weights_sqr8,4788,10781,7809,445,0.653528103093649,0.38009049773755654,0.9149627364800306,0.5370723499719574,0.5799354491662184
120,5,manhattan,uniform,4957,8979,9611,276,0.5849809008101414,0.3402663371773751,0.9472577871201987,0.5006817837482955,0.48300161377084455
121,5,manhattan,distance,4956,9007,9583,277,0.5861142593292197,0.3408762638420799,0.9470666921459966,0.5013149908962169,0.48450779989241527
122,5,manhattan,weights_sqr,4958,9372,9218,275,0.6015195399403938,0.34974604966139955,0.9474488820944009,0.5108970065433561,0.5041420118343195
123,5,manhattan,weights_sqr4,4926,10040,8550,307,0.6282164295009025,0.3655387355298308,0.9413338429199312,0.5265914800363461,0.5400753093060785
124,5,manhattan,weights_sqr8,4783,10562,8028,450,0.6441254250094447,0.37335102646163454,0.9140072616090197,0.5301485258257593,0.5681549220010759
125,5,nan_euclidean,uniform,4961,8853,9737,272,0.5798597993535659,0.3375289154987073,0.9480221670170075,0.49781747027243983,0.4762237762237762
126,5,nan_euclidean,distance,4963,8900,9690,270,0.5819166351844856,0.3387019722923633,0.9484043569654118,0.4991451272251835,0.4787520172135557
127,5,nan_euclidean,weights_sqr,4979,9376,9214,254,0.6025689459765773,0.350806735714789,0.9514618765526467,0.5126119633480902,0.5043571812802582
128,5,nan_euclidean,weights_sqr4,4946,9987,8603,287,0.6268312135331402,0.36504539080374937,0.9451557424039748,0.5266744755617081,0.537224314147391
129,5,nan_euclidean,weights_sqr8,4806,10675,7915,427,0.649834193846283,0.3778004873830674,0.9184024460156698,0.5353681630834355,0.5742334588488435
