,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
33,12,manhattan,weights_sqr,2769,17905,685,2464,0.8678168156823238,0.801679212507238,0.5291419835658322,0.6375043167952112,0.9631522323830016
34,12,manhattan,weights_sqr4,2927,17811,779,2306,0.8705032951349536,0.7898003237992445,0.5593349894897764,0.6548830965432375,0.9580957504034427
35,12,manhattan,weights_sqr8,3066,17524,1066,2167,0.8642908114007471,0.7420135527589545,0.5858971909038793,0.6547784303256808,0.9426573426573427
36,13,manhattan,weights_sqr,2757,17924,666,2476,0.8681106493724552,0.8054338299737073,0.5268488438754061,0.637014787430684,0.9641742872512103
37,13,manhattan,weights_sqr4,2900,17827,763,2333,0.8700415564790329,0.7917007917007917,0.5541754251863176,0.6519784172661871,0.9589564281871974
38,13,manhattan,weights_sqr8,3064,17547,1043,2169,0.8651723124711413,0.7460433406379352,0.5855150009554748,0.65610278372591,0.9438945669714901
39,14,manhattan,weights_sqr,2703,17931,659,2530,0.8661377660244302,0.8039857227840571,0.5165297152684885,0.6289703315881326,0.964550833781603
40,14,manhattan,weights_sqr4,2891,17858,732,2342,0.8709650337908743,0.7979574937896771,0.552455570418498,0.6528906955736224,0.9606239913932222
41,14,manhattan,weights_sqr8,3059,17563,1027,2174,0.865634051127062,0.7486539402838962,0.5845595260844639,0.6565082090353042,0.9447552447552447
42,15,manhattan,weights_sqr,2701,17972,618,2532,0.8677748394408764,0.813799337149744,0.5161475253200841,0.631665107577175,0.9667563206024744
43,15,manhattan,weights_sqr4,2866,17871,719,2367,0.8704613188935063,0.799442119944212,0.5476781960634435,0.6500340213200272,0.9613232920925229
44,15,manhattan,weights_sqr8,3045,17572,1018,2188,0.8654241699198254,0.7494462220034457,0.5818841964456335,0.6551204819277108,0.9452393760086067
45,16,manhattan,weights_sqr,2680,17968,622,2553,0.866725433404693,0.8116293155663235,0.5121345308618384,0.6280023432923257,0.9665411511565358
46,16,manhattan,weights_sqr4,2867,17887,703,2366,0.8711749149981111,0.8030812324929972,0.5478692910376457,0.6513688515278881,0.9621839698762775
47,16,manhattan,weights_sqr8,3038,17582,1008,2195,0.8655500986441674,0.7508650519031141,0.5805465316262183,0.6548119409419119,0.9457772996234535
48,17,manhattan,weights_sqr,2672,17979,611,2561,0.866851362129035,0.813889734998477,0.5106057710682209,0.6275246594645374,0.9671328671328672
49,17,manhattan,weights_sqr4,2856,17897,693,2377,0.8711329387566638,0.8047337278106509,0.5457672463214217,0.6504213163288545,0.9627218934911242
50,17,manhattan,weights_sqr8,3037,17595,995,2196,0.8660538135415355,0.7532242063492064,0.580355436652016,0.6555855369670804,0.9464766003227542
51,18,manhattan,weights_sqr,2653,18002,588,2580,0.8670192670948244,0.8185745140388769,0.5069749665583795,0.6261505782393203,0.9683700914470145
52,18,manhattan,weights_sqr4,2830,17914,676,2403,0.8707551525836377,0.80718767826583,0.540798776992165,0.6476713582789794,0.9636363636363636
53,18,manhattan,weights_sqr8,3024,17602,988,2209,0.8658019560928515,0.7537387836490529,0.5778712019873877,0.6541914548404543,0.9468531468531468
54,19,manhattan,weights_sqr,2636,18022,568,2597,0.8671451958191664,0.8227215980024969,0.5037263519969425,0.6248666587649638,0.9694459386767079
55,19,manhattan,weights_sqr4,2823,17919,671,2410,0.870671200100743,0.8079564968517459,0.5394611121727498,0.6469577174286696,0.9639053254437869
56,19,manhattan,weights_sqr8,3019,17624,966,2214,0.8665155521974562,0.7575909661229611,0.5769157271163768,0.6550227815144283,0.9480365788058096
57,20,manhattan,weights_sqr,2631,18026,564,2602,0.867103219577719,0.8234741784037559,0.5027708771259316,0.6243474133839582,0.9696611081226466
58,20,manhattan,weights_sqr4,2818,17929,661,2415,0.8708810813079797,0.8100028743891923,0.538505637301739,0.6469237832874196,0.9644432490586337
59,20,manhattan,weights_sqr8,3015,17625,965,2218,0.8663896234731142,0.757537688442211,0.5761513472195682,0.6545099316183653,0.9480903711672942
